"","Node Modulation
Score","Importance
Score","Phosphoproteomics
log2 FC","Proteomics
log2 FC","Transcriptomics
log2 FC","Evidence
Score","Phosphoproteomics
SD","Proteomics
SD","Transcriptomics
SD"
"467",91.0166985662847,0.0893837018265972,0.701058325052967,0.0877963926798229,0.0550269239623695,3,0.762985123818138,0.129307350209959,0.0645500973248799
"468",11.6050492840655,0.0893837018265972,0.0800296711647999,0.0575399431734658,0.0247943832255437,3,0.762985123818138,0.129307350209959,0.0645500973248799
"520",56.1548155657363,0.103423988845159,0.414231690170504,0.331625855795807,0.0192126197972478,3,0.282995235835683,0.52872040008134,0.0312309720522732
"521",15.0719733368048,0.103423988845159,0.040526836830022,0.125436157974443,0.0286732966352261,3,0.282995235835683,0.52872040008134,0.0312309720522732
"522",66.833095913373,0.103423988845159,0.373704853340482,0.457062013770249,0.0478859164324739,3,0.282995235835683,0.52872040008134,0.0312309720522732
"544",20.9714634743904,0.255564040729259,0.191746996308042,0,0.112094290979367,2,0.293712736629595,0,0.0904771574719382
"545",39.2435357720657,0.255564040729259,0.387086100923646,0,0.117977593546217,2,0.293712736629595,0,0.0904771574719382
"546",53.8144459137711,0.255564040729259,0.578833097231689,0,0.00588330256685055,2,0.293712736629595,0,0.0904771574719382
"556",60.044100604893,0.1021419431444,0.744652304675414,0.131459586703733,0.0967765096587616,3,0.371234414763601,0.251465400335195,0.0816714781274403
"557",32.2637406441076,0.1021419431444,0.31329700869933,0.212155150476498,0.0109534560904194,3,0.371234414763601,0.251465400335195,0.0816714781274403
"558",47.9650704453457,0.1021419431444,0.431355295976084,0.343614737180231,0.0858230535683422,3,0.371234414763601,0.251465400335195,0.0816714781274403
"559",13.7911415722581,0.760564005031839,0,0.0380700874326996,0.0571794208007192,2,0,0.236052416061996,0.099674229260345
"560",63.9835692694441,0.760564005031839,0,0.229961530035396,0.138968418544707,2,0,0.236052416061996,0.099674229260345
"561",50.192427697186,0.760564005031839,0,0.191891442602697,0.0817889977439874,2,0,0.236052416061996,0.099674229260345
"589",203.847428832692,0.408066285855347,0.337898175784545,0.0563987447006333,0.15086866988033,3,0.747453335777909,0.0650844240161086,0.0894099998669238
"590",4.47759908300072,0.408066285855347,0.00623736264814845,0.0148588451476321,0.00330351806752027,3,0.747453335777909,0.0650844240161086,0.0894099998669238
"591",199.369829749692,0.408066285855347,0.331660813136397,0.0415398995530012,0.14756515181281,3,0.747453335777909,0.0650844240161086,0.0894099998669238
"592",29.5652152147215,0.395325539480923,0.202315211390657,0.0118769230798996,0.00763583477176244,3,0.193961666065242,0.0684253238867335,0.0427229680539722
"593",3.34801195375714,0.395325539480923,0.00622980507777982,0.00845362740423461,0.0652095179070535,3,0.193961666065242,0.0684253238867335,0.0427229680539722
"594",32.9132271684786,0.395325539480923,0.208545016468437,0.0203305504841342,0.072845352678816,3,0.193961666065242,0.0684253238867335,0.0427229680539722
"598",2.15548959291064,0.235164062050912,0,0.0200147542968461,0.00831104671471294,2,0,0.347186882167074,0.0571114239804659
"599",23.6083188301812,0.235164062050912,0,0.229856977553893,0.0263314896646696,2,0,0.347186882167074,0.0571114239804659
"600",21.4528292372705,0.235164062050912,0,0.209842223257047,0.0180204429499566,2,0,0.347186882167074,0.0571114239804659
"619",200.851673468652,0.117575356427407,1.42673274615435,0,0.0102459419107506,2,0.969128116902695,0,0.0839212200930082
"620",222.998191079647,0.117575356427407,1.57238110283977,0,0.14611330297442,2,0.969128116902695,0,0.0839212200930082
"621",22.1465176109954,0.117575356427407,0.14564835668542,0,0.13586736106367,2,0.969128116902695,0,0.0839212200930082
"625",67.9870873789119,0.0625050365224914,0.887435085096219,0.156197588623537,0.200411273776955,3,0.588401450409075,0.297345790754625,0.0932094107005512
"626",7.12674913257228,0.0625050365224914,0.0823204926175602,0.0145162083577137,0.0945095738638457,3,0.588401450409075,0.297345790754625,0.0932094107005512
"627",72.0749256463216,0.0625050365224914,0.969755577713779,0.141681380265823,0.105901699913109,3,0.588401450409075,0.297345790754625,0.0932094107005512
"631",20.1463968769168,0.0621062828238617,0.555985187787503,0.000404807647552019,0.0931535430692536,3,0.306602389424754,0.279806722906724,0.0490413267869803
"632",8.77678098806146,0.0621062828238617,0.00661720164283253,0.2565686092984,0.0506673618596434,3,0.306602389424754,0.279806722906724,0.0490413267869803
"633",28.3515509997735,0.0621062828238617,0.562602389430335,0.256973416945952,0.0424861812096102,3,0.306602389424754,0.279806722906724,0.0490413267869803
"646",607.21491662854,0.374314245955413,0.467502046769139,0.100999659500629,0.00560721727127245,3,1.81682469117286,0.260266985567835,0.0416754713387826
"647",3952.4400199305,0.374314245955413,3.10545793850927,0.219547220960148,0.0495734112757669,3,1.81682469117286,0.260266985567835,0.0416754713387826
"648",4559.33093220041,0.374314245955413,3.57295998527841,0.320546880460777,0.0439661940044944,3,1.81682469117286,0.260266985567835,0.0416754713387826
"649",104.772326807748,0.273857467928177,0.17390497257643,0,0.00868248681145012,2,1.77852405659631,0,0.0644408204269616
"650",2137.16600397103,0.273857467928177,3.54956086756144,0,0.116004728410133,2,1.77852405659631,0,0.0644408204269616
"651",2032.39367716329,0.273857467928177,3.37565589498501,0,0.107322241598683,2,1.77852405659631,0,0.0644408204269616
"658",176.562747057923,0.573681257826969,0.280172094646171,0.110820062010838,0.0493598426659894,3,0.544143956759523,0.0991973757271444,0.0553149036882713
"659",691.666609354287,0.573681257826969,1.16844210213754,0.0997734873153959,0.0955417286937656,3,0.544143956759523,0.0991973757271444,0.0553149036882713
"660",517.43240962564,0.573681257826969,0.888270007491369,0.0110465746954418,0.0461818860277763,3,0.544143956759523,0.0991973757271444,0.0553149036882713
"661",52.8361959858165,0.106928643299962,0,0.19756313295328,0.819498150853921,2,0,0.264842487618709,0.424494357162918
